order_id,order_date,customer_id,region,category,product,quantity,unit_price,total_amount,payment_method,is_returned,review_score
ORD000001,2024-01-15,C00174,华南,美妆个护,洗发水,1,119.94,119.94,支付宝,False,4.8
ORD000002,2024-01-28,C00186,华北,美妆个护,洗发水,1,118.95,118.95,微信支付,False,5.0
ORD000003,2025-01-22,C00030,华中,服装,男士夹克,1,679.61,679.61,银行卡,False,3.5
ORD000004,2024-10-18,C00470,华东,服装,运动鞋,2,571.28,1142.57,微信支付,False,3.7
ORD000005,2024-09-06,C00380,华东,美妆个护,洗发水,3,116.05,348.14,微信支付,False,5.0
ORD000006,2025-05-19,C00312,华北,服装,女士连衣裙,4,539.17,2156.66,支付宝,True,4.3
ORD000007,2024-04-07,C00078,华东,服装,运动鞋,3,642.89,1928.67,微信支付,False,3.8
ORD000008,2024-12-02,C00535,华北,食品饮料,咖啡豆,2,164.02,328.03,支付宝,False,3.9
ORD000009,2024-02-08,C00529,华东,电子产品,笔记本电脑,2,6792.69,13585.39,支付宝,False,4.3
ORD000010,2024-02-07,C00122,华东,食品饮料,气泡水,1,102.26,102.26,银行卡,False,5.0
ORD000011,2024-10-26,C00228,华南,服装,运动鞋,3,686.24,2058.72,支付宝,False,4.2
ORD000012,2024-06-27,C00408,华北,服装,运动鞋,2,710.64,1421.29,货到付款,False,4.9
ORD000013,2025-08-31,C00175,华北,电子产品,蓝牙耳机,2,895.24,1790.48,支付宝,False,4.7
ORD000014,2025-04-13,C00553,华东,家居用品,智能台灯,4,316.25,1265.02,银行卡,False,3.6
ORD000015,2024-10-08,C00015,华中,家居用品,空气净化器,3,1259.54,3778.63,微信支付,False,3.6
ORD000016,2024-06-12,C00214,华东,家居用品,智能台灯,1,279.71,279.71,微信支付,False,3.9
ORD000017,2025-03-28,C00052,华东,食品饮料,坚果礼盒,1,216.12,216.12,支付宝,True,3.2
ORD000018,2024-04-06,C00316,华北,家居用品,空气净化器,1,1260.06,1260.06,微信支付,False,3.9
ORD000019,2024-11-04,C00057,华东,电子产品,智能手机,3,4620.3,13860.9,银行卡,False,5.0
ORD000020,2024-09-18,C00289,华北,服装,运动鞋,2,665.46,1330.92,支付宝,False,4.3
ORD000021,2024-10-19,C00149,东北,服装,运动鞋,2,626.83,1253.65,支付宝,False,3.7
ORD000022,2024-09-05,C00408,西南,电子产品,蓝牙耳机,4,824.77,3299.09,支付宝,False,5.0
ORD000023,2024-09-01,C00532,华北,电子产品,蓝牙耳机,4,799.67,3198.68,支付宝,True,3.6
ORD000024,2024-09-07,C00369,华北,美妆个护,口红,2,280.63,561.26,支付宝,False,3.5
ORD000025,2024-05-02,C00324,华东,电子产品,蓝牙耳机,2,895.32,1790.64,微信支付,False,5.0
ORD000026,2024-11-20,C00357,华南,美妆个护,口红,3,288.65,865.96,支付宝,False,4.8
ORD000027,2025-11-11,C00430,华南,家居用品,空气净化器,4,1315.81,5263.23,微信支付,False,4.2
ORD000028,2025-05-15,C00033,东北,服装,女士连衣裙,1,496.9,496.9,银行卡,False,5.0
ORD000029,2025-11-17,C00543,华东,电子产品,笔记本电脑,1,7670.2,7670.2,微信支付,False,4.5
ORD000030,2025-12-16,C00286,华南,食品饮料,坚果礼盒,1,193.74,193.74,支付宝,False,3.4
ORD000031,2024-03-06,C00517,东北,电子产品,智能手机,1,5048.97,5048.97,微信支付,False,2.4
