date,year,month,department,account,amount
2024-01-01,2024,1,销售部,主营业务收入,5124618.47
2024-01-01,2024,1,销售部,销售成本,-2185270.08
2024-01-01,2024,1,销售部,市场费用,-769286.68
2024-01-01,2024,1,销售部,研发支出,-1359319.46
2024-01-01,2024,1,销售部,运营支出,-599654.2
2024-01-01,2024,1,销售部,管理费用,-505248.29
2024-01-01,2024,1,市场部,主营业务收入,5209844.06
2024-01-01,2024,1,市场部,销售成本,-2042214.8
2024-01-01,2024,1,市场部,市场费用,-871004.81
2024-01-01,2024,1,市场部,研发支出,-1388908.25
2024-01-01,2024,1,市场部,运营支出,-602667.49
2024-01-01,2024,1,市场部,管理费用,-481451.08
2024-01-01,2024,1,研发部,主营业务收入,5139199.92
2024-01-01,2024,1,研发部,销售成本,-2402192.44
2024-01-01,2024,1,研发部,市场费用,-850513.22
2024-01-01,2024,1,研发部,研发支出,-1375225.65
2024-01-01,2024,1,研发部,运营支出,-526356.18
2024-01-01,2024,1,研发部,管理费用,-484696.59
2024-01-01,2024,1,运营部,主营业务收入,4835680.92
2024-01-01,2024,1,运营部,销售成本,-2245651.45
2024-01-01,2024,1,运营部,市场费用,-757944.13
2024-01-01,2024,1,运营部,研发支出,-1356092.19
2024-01-01,2024,1,运营部,运营支出,-585019.42
2024-01-01,2024,1,运营部,管理费用,-498789.43
2024-01-01,2024,1,人事部,主营业务收入,4902853.49
2024-01-01,2024,1,人事部,销售成本,-2155226.58
2024-01-01,2024,1,人事部,市场费用,-713035.49
2024-01-01,2024,1,人事部,研发支出,-1424958.53
2024-01-01,2024,1,人事部,运营支出,-556545.97
2024-01-01,2024,1,人事部,管理费用,-522814.19
2024-02-01,2024,2,销售部,主营业务收入,5333135.8
2024-02-01,2024,2,销售部,销售成本,-2064290.21
2024-02-01,2024,2,销售部,市场费用,-910861.22
2024-02-01,2024,2,销售部,研发支出,-1461614.79
2024-02-01,2024,2,销售部,运营支出,-606988.83
2024-02-01,2024,2,销售部,管理费用,-475305.88
2024-02-01,2024,2,市场部,主营业务收入,4231964.57
2024-02-01,2024,2,市场部,销售成本,-2200451.55
2024-02-01,2024,2,市场部,市场费用,-808195.94
2024-02-01,2024,2,市场部,研发支出,-1449715.03
2024-02-01,2024,2,市场部,运营支出,-517572.56
2024-02-01,2024,2,市场部,管理费用,-524703.16
2024-02-01,2024,2,研发部,主营业务收入,5338301.36
2024-02-01,2024,2,研发部,销售成本,-2246956.88
2024-02-01,2024,2,研发部,市场费用,-713523.17
2024-02-01,2024,2,研发部,研发支出,-1387098.0
2024-02-01,2024,2,研发部,运营支出,-551576.5
2024-02-01,2024,2,研发部,管理费用,-467189.13
2024-02-01,2024,2,运营部,主营业务收入,4649852.7
2024-02-01,2024,2,运营部,销售成本,-2224129.49
2024-02-01,2024,2,运营部,市场费用,-746866.18
2024-02-01,2024,2,运营部,研发支出,-1386849.11
2024-02-01,2024,2,运营部,运营支出,-627994.03
2024-02-01,2024,2,运营部,管理费用,-499870.78
2024-02-01,2024,2,人事部,主营业务收入,4880794.79
2024-02-01,2024,2,人事部,销售成本,-2184365.59
2024-02-01,2024,2,人事部,市场费用,-902564.17
2024-02-01,2024,2,人事部,研发支出,-1472445.55
2024-02-01,2024,2,人事部,运营支出,-497107.61
2024-02-01,2024,2,人事部,管理费用,-487868.36
2024-03-01,2024,3,销售部,主营业务收入,5004370.61
2024-03-01,2024,3,销售部,销售成本,-2426536.43
2024-03-01,2024,3,销售部,市场费用,-788141.04
2024-03-01,2024,3,销售部,研发支出,-1377446.02
2024-03-01,2024,3,销售部,运营支出,-589968.53
2024-03-01,2024,3,销售部,管理费用,-497095.15
2024-03-01,2024,3,市场部,主营业务收入,5064321.78
2024-03-01,2024,3,市场部,销售成本,-2240220.22
2024-03-01,2024,3,市场部,市场费用,-787569.17
2024-03-01,2024,3,市场部,研发支出,-1503265.45
2024-03-01,2024,3,市场部,运营支出,-601378.83
2024-03-01,2024,3,市场部,管理费用,-528943.35
2024-03-01,2024,3,研发部,主营业务收入,5022630.82
2024-03-01,2024,3,研发部,销售成本,-2154033.62
2024-03-01,2024,3,研发部,市场费用,-829916.92
2024-03-01,2024,3,研发部,研发支出,-1265361.46
2024-03-01,2024,3,研发部,运营支出,-593388.69
2024-03-01,2024,3,研发部,管理费用,-427122.51
2024-03-01,2024,3,运营部,主营业务收入,4632297.25
2024-03-01,2024,3,运营部,销售成本,-2112219.79
2024-03-01,2024,3,运营部,市场费用,-798462.07
2024-03-01,2024,3,运营部,研发支出,-1418752.63
2024-03-01,2024,3,运营部,运营支出,-529846.38
2024-03-01,2024,3,运营部,管理费用,-487543.8
2024-03-01,2024,3,人事部,主营业务收入,4895196.17
2024-03-01,2024,3,人事部,销售成本,-2425865.27
2024-03-01,2024,3,人事部,市场费用,-795435.7
2024-03-01,2024,3,人事部,研发支出,-1328707.24
2024-03-01,2024,3,人事部,运营支出,-635900.88
2024-03-01,2024,3,人事部,管理费用,-493222.53
2024-04-01,2024,4,销售部,主营业务收入,5223509.94
2024-04-01,2024,4,销售部,销售成本,-2310597.74
2024-04-01,2024,4,销售部,市场费用,-745385.93
2024-04-01,2024,4,销售部,研发支出,-1377081.3
2024-04-01,2024,4,销售部,运营支出,-584037.42
2024-04-01,2024,4,销售部,管理费用,-522034.68
2024-04-01,2024,4,市场部,主营业务收入,5486725.6
2024-04-01,2024,4,市场部,销售成本,-2382653.37
2024-04-01,2024,4,市场部,市场费用,-786465.46
2024-04-01,2024,4,市场部,研发支出,-1485994.99
2024-04-01,2024,4,市场部,运营支出,-615669.67
2024-04-01,2024,4,市场部,管理费用,-490961.57
2024-04-01,2024,4,研发部,主营业务收入,4764101.15
2024-04-01,2024,4,研发部,销售成本,-2252285.18
2024-04-01,2024,4,研发部,市场费用,-902283.3
2024-04-01,2024,4,研发部,研发支出,-1468684.55
2024-04-01,2024,4,研发部,运营支出,-566596.36
2024-04-01,2024,4,研发部,管理费用,-508648.46
2024-04-01,2024,4,运营部,主营业务收入,4743696.91
2024-04-01,2024,4,运营部,销售成本,-2223090.89
2024-04-01,2024,4,运营部,市场费用,-829825.89
2024-04-01,2024,4,运营部,研发支出,-1417544.71
2024-04-01,2024,4,运营部,运营支出,-641681.41
2024-04-01,2024,4,运营部,管理费用,-482039.53
2024-04-01,2024,4,人事部,主营业务收入,5401229.12
2024-04-01,2024,4,人事部,销售成本,-2159242.51
2024-04-01,2024,4,人事部,市场费用,-727251.35
2024-04-01,2024,4,人事部,研发支出,-1456226.58
2024-04-01,2024,4,人事部,运营支出,-619239.34
2024-04-01,2024,4,人事部,管理费用,-524277.28
2024-05-01,2024,5,销售部,主营业务收入,5045480.3
2024-05-01,2024,5,销售部,销售成本,-1959842.86
2024-05-01,2024,5,销售部,市场费用,-746331.66
2024-05-01,2024,5,销售部,研发支出,-1406564.61
2024-05-01,2024,5,销售部,运营支出,-597542.19
2024-05-01,2024,5,销售部,管理费用,-545054.79
2024-05-01,2024,5,市场部,主营业务收入,4760432.01
2024-05-01,2024,5,市场部,销售成本,-2295487.49
2024-05-01,2024,5,市场部,市场费用,-837440.41
2024-05-01,2024,5,市场部,研发支出,-1265253.88
2024-05-01,2024,5,市场部,运营支出,-599213.25
2024-05-01,2024,5,市场部,管理费用,-502793.14
2024-05-01,2024,5,研发部,主营业务收入,5394119.12
2024-05-01,2024,5,研发部,销售成本,-2010786.74
2024-05-01,2024,5,研发部,市场费用,-849482.04
2024-05-01,2024,5,研发部,研发支出,-1422162.97
2024-05-01,2024,5,研发部,运营支出,-655228.73
2024-05-01,2024,5,研发部,管理费用,-484221.37
2024-05-01,2024,5,运营部,主营业务收入,5231452.74
2024-05-01,2024,5,运营部,销售成本,-2077758.06
2024-05-01,2024,5,运营部,市场费用,-931988.16
2024-05-01,2024,5,运营部,研发支出,-1376245.86
2024-05-01,2024,5,运营部,运营支出,-537551.41
2024-05-01,2024,5,运营部,管理费用,-478276.04
2024-05-01,2024,5,人事部,主营业务收入,5290575.47
2024-05-01,2024,5,人事部,销售成本,-2196222.07
2024-05-01,2024,5,人事部,市场费用,-864612.28
2024-05-01,2024,5,人事部,研发支出,-1488533.32
2024-05-01,2024,5,人事部,运营支出,-640836.88
2024-05-01,2024,5,人事部,管理费用,-523326.66
2024-06-01,2024,6,销售部,主营业务收入,4701090.91
2024-06-01,2024,6,销售部,销售成本,-2115827.84
2024-06-01,2024,6,销售部,市场费用,-724280.49
2024-06-01,2024,6,销售部,研发支出,-1401718.03
2024-06-01,2024,6,销售部,运营支出,-680889.81
2024-06-01,2024,6,销售部,管理费用,-493699.9
2024-06-01,2024,6,市场部,主营业务收入,5526855.31
2024-06-01,2024,6,市场部,销售成本,-2023876.31
2024-06-01,2024,6,市场部,市场费用,-771037.83
2024-06-01,2024,6,市场部,研发支出,-1348306.72
2024-06-01,2024,6,市场部,运营支出,-618483.71
2024-06-01,2024,6,市场部,管理费用,-509053.94
2024-06-01,2024,6,研发部,主营业务收入,4502262.32
2024-06-01,2024,6,研发部,销售成本,-2108521.9
2024-06-01,2024,6,研发部,市场费用,-874005.64
2024-06-01,2024,6,研发部,研发支出,-1453990.96
2024-06-01,2024,6,研发部,运营支出,-564794.84
2024-06-01,2024,6,研发部,管理费用,-481417.44
2024-06-01,2024,6,运营部,主营业务收入,4964039.3
2024-06-01,2024,6,运营部,销售成本,-2103461.86
2024-06-01,2024,6,运营部,市场费用,-825966.94
2024-06-01,2024,6,运营部,研发支出,-1388676.05
2024-06-01,2024,6,运营部,运营支出,-640846.38
2024-06-01,2024,6,运营部,管理费用,-493796.68
2024-06-01,2024,6,人事部,主营业务收入,5266680.74
2024-06-01,2024,6,人事部,销售成本,-2142989.91
2024-06-01,2024,6,人事部,市场费用,-768227.49
2024-06-01,2024,6,人事部,研发支出,-1397295.93
2024-06-01,2024,6,人事部,运营支出,-534837.61
2024-06-01,2024,6,人事部,管理费用,-498147.95
2024-07-01,2024,7,销售部,主营业务收入,5329063.5
2024-07-01,2024,7,销售部,销售成本,-2073976.44
2024-07-01,2024,7,销售部,市场费用,-863707.95
2024-07-01,2024,7,销售部,研发支出,-1404232.29
2024-07-01,2024,7,销售部,运营支出,-607484.01
2024-07-01,2024,7,销售部,管理费用,-510170.21
2024-07-01,2024,7,市场部,主营业务收入,4911756.82
2024-07-01,2024,7,市场部,销售成本,-2238574.95
2024-07-01,2024,7,市场部,市场费用,-785105.66
2024-07-01,2024,7,市场部,研发支出,-1367172.98
2024-07-01,2024,7,市场部,运营支出,-649481.41
2024-07-01,2024,7,市场部,管理费用,-468907.04
2024-07-01,2024,7,研发部,主营业务收入,4851810.11
2024-07-01,2024,7,研发部,销售成本,-2291050.12
2024-07-01,2024,7,研发部,市场费用,-741318.22
2024-07-01,2024,7,研发部,研发支出,-1390222.25
2024-07-01,2024,7,研发部,运营支出,-542325.98
2024-07-01,2024,7,研发部,管理费用,-489510.94
2024-07-01,2024,7,运营部,主营业务收入,4568542.33
2024-07-01,2024,7,运营部,销售成本,-2120413.12
2024-07-01,2024,7,运营部,市场费用,-810597.26
2024-07-01,2024,7,运营部,研发支出,-1396812.7
2024-07-01,2024,7,运营部,运营支出,-645940.26
2024-07-01,2024,7,运营部,管理费用,-517983.89
2024-07-01,2024,7,人事部,主营业务收入,4890327.19
2024-07-01,2024,7,人事部,销售成本,-2304749.3
2024-07-01,2024,7,人事部,市场费用,-791037.65
2024-07-01,2024,7,人事部,研发支出,-1361886.87
2024-07-01,2024,7,人事部,运营支出,-548067.57
2024-07-01,2024,7,人事部,管理费用,-536533.89
2024-08-01,2024,8,销售部,主营业务收入,5382558.97
2024-08-01,2024,8,销售部,销售成本,-2177725.96
2024-08-01,2024,8,销售部,市场费用,-794658.89
2024-08-01,2024,8,销售部,研发支出,-1386886.53
2024-08-01,2024,8,销售部,运营支出,-519977.02
2024-08-01,2024,8,销售部,管理费用,-497251.58
2024-08-01,2024,8,市场部,主营业务收入,4357689.04
2024-08-01,2024,8,市场部,销售成本,-2070129.16
2024-08-01,2024,8,市场部,市场费用,-799156.68
2024-08-01,2024,8,市场部,研发支出,-1445482.82
2024-08-01,2024,8,市场部,运营支出,-529714.46
2024-08-01,2024,8,市场部,管理费用,-495965.13
2024-08-01,2024,8,研发部,主营业务收入,4978305.37
2024-08-01,2024,8,研发部,销售成本,-2182002.64
2024-08-01,2024,8,研发部,市场费用,-821051.75
2024-08-01,2024,8,研发部,研发支出,-1443153.54
2024-08-01,2024,8,研发部,运营支出,-601854.24
2024-08-01,2024,8,研发部,管理费用,-538472.54
2024-08-01,2024,8,运营部,主营业务收入,4934495.36
2024-08-01,2024,8,运营部,销售成本,-2088138.09
2024-08-01,2024,8,运营部,市场费用,-915947.56
2024-08-01,2024,8,运营部,研发支出,-1536899.61
2024-08-01,2024,8,运营部,运营支出,-625157.2
2024-08-01,2024,8,运营部,管理费用,-442986.9
2024-08-01,2024,8,人事部,主营业务收入,5079391.62
2024-08-01,2024,8,人事部,销售成本,-2123675.05
2024-08-01,2024,8,人事部,市场费用,-895167.67
2024-08-01,2024,8,人事部,研发支出,-1399346.4
2024-08-01,2024,8,人事部,运营支出,-571457.84
2024-08-01,2024,8,人事部,管理费用,-508484.71
2024-09-01,2024,9,销售部,主营业务收入,5386859.71
2024-09-01,2024,9,销售部,销售成本,-2110362.19
2024-09-01,2024,9,销售部,市场费用,-849591.85
2024-09-01,2024,9,销售部,研发支出,-1294202.3
2024-09-01,2024,9,销售部,运营支出,-596374.82
2024-09-01,2024,9,销售部,管理费用,-465534.42
2024-09-01,2024,9,市场部,主营业务收入,4745279.78
2024-09-01,2024,9,市场部,销售成本,-2331080.36
2024-09-01,2024,9,市场部,市场费用,-777543.8
2024-09-01,2024,9,市场部,研发支出,-1359198.8
2024-09-01,2024,9,市场部,运营支出,-649213.58
2024-09-01,2024,9,市场部,管理费用,-514462.52
2024-09-01,2024,9,研发部,主营业务收入,4437751.27
2024-09-01,2024,9,研发部,销售成本,-2192304.4
2024-09-01,2024,9,研发部,市场费用,-803999.22
2024-09-01,2024,9,研发部,研发支出,-1443729.92
2024-09-01,2024,9,研发部,运营支出,-588090.52
2024-09-01,2024,9,研发部,管理费用,-548562.06
2024-09-01,2024,9,运营部,主营业务收入,5086338.04
2024-09-01,2024,9,运营部,销售成本,-2026066.05
2024-09-01,2024,9,运营部,市场费用,-776117.63
2024-09-01,2024,9,运营部,研发支出,-1460876.41
2024-09-01,2024,9,运营部,运营支出,-587590.46
2024-09-01,2024,9,运营部,管理费用,-502723.34
2024-09-01,2024,9,人事部,主营业务收入,4989623.44
2024-09-01,2024,9,人事部,销售成本,-1932304.46
