date,year,month,region,category,product,sales,quantity,profit,discount,unit_price,customer_segment
2024-01-01,2024,1,华东,电子产品,智能手机,1550455.07,356,190385.67,0.2196,4349.9,企业客户
2024-01-01,2024,1,华东,电子产品,笔记本电脑,1869074.56,269,291173.53,0.0468,6956.56,企业客户
2024-01-01,2024,1,华东,电子产品,蓝牙耳机,510290.74,649,75189.26,0.0545,786.29,企业客户
2024-01-01,2024,1,华东,家居用品,智能台灯,152049.09,516,30359.43,0.1574,294.94,家庭
2024-01-01,2024,1,华东,家居用品,空气净化器,422473.49,360,99756.13,0.0876,1174.68,家庭
2024-01-01,2024,1,华东,家居用品,电饭煲,163299.68,341,33243.65,0.2356,478.63,家庭
2024-01-01,2024,1,华东,服装,男士夹克,255232.72,371,76729.17,0.1823,687.39,个人
2024-01-01,2024,1,华东,服装,女士连衣裙,242914.42,418,80529.17,0.0293,580.56,个人
2024-01-01,2024,1,华东,服装,运动鞋,307576.44,500,101117.04,0.0103,615.73,个人
2024-01-01,2024,1,华东,食品饮料,坚果礼盒,220117.64,1169,37410.19,0.1988,188.24,家庭
2024-01-01,2024,1,华东,食品饮料,咖啡豆,145895.53,966,22609.5,0.2909,150.98,家庭
2024-01-01,2024,1,华东,食品饮料,气泡水,147870.28,1658,22897.63,0.2766,89.19,家庭
2024-01-01,2024,1,华东,美妆个护,护肤套装,504253.57,584,155767.87,0.2486,863.64,个人
2024-01-01,2024,1,华东,美妆个护,口红,212644.01,827,75177.87,0.1628,257.0,个人
2024-01-01,2024,1,华东,美妆个护,洗发水,139095.85,1139,57263.98,0.0017,122.1,个人
2024-01-01,2024,1,华南,电子产品,智能手机,1360495.89,305,161304.26,0.2187,4458.26,企业客户
2024-01-01,2024,1,华南,电子产品,笔记本电脑,1593709.96,236,230806.19,0.0993,6763.74,企业客户
2024-01-01,2024,1,华南,电子产品,蓝牙耳机,436827.22,525,62864.57,0.0976,832.55,企业客户
2024-01-01,2024,1,华南,家居用品,智能台灯,139057.17,450,35460.75,0.0359,308.76,家庭
2024-01-01,2024,1,华南,家居用品,空气净化器,416541.54,332,89946.26,0.1684,1256.33,家庭
2024-01-01,2024,1,华南,家居用品,电饭煲,132660.58,277,34317.43,0.0076,478.72,家庭
2024-01-01,2024,1,华南,服装,男士夹克,246278.78,348,74845.36,0.1526,707.5,个人
2024-01-01,2024,1,华南,服装,女士连衣裙,215089.64,394,69303.87,0.0686,546.5,个人
2024-01-01,2024,1,华南,服装,运动鞋,253335.61,405,89137.93,0.0484,626.11,个人
2024-01-01,2024,1,华南,食品饮料,坚果礼盒,174136.89,836,28069.19,0.2678,208.23,家庭
2024-01-01,2024,1,华南,食品饮料,咖啡豆,141009.8,949,21359.73,0.2688,148.53,家庭
2024-01-01,2024,1,华南,食品饮料,气泡水,113972.54,1376,16978.87,0.2454,82.83,家庭
2024-01-01,2024,1,华南,美妆个护,护肤套装,500639.18,570,186332.26,0.0666,878.34,个人
2024-01-01,2024,1,华南,美妆个护,口红,192354.84,761,68722.8,0.1556,252.64,个人
2024-01-01,2024,1,华南,美妆个护,洗发水,139343.32,1162,38637.63,0.2915,119.9,个人
2024-01-01,2024,1,华北,电子产品,智能手机,1109914.31,243,184681.79,0.0154,4564.5,企业客户
2024-01-01,2024,1,华北,电子产品,笔记本电脑,1322080.52,201,186585.76,0.0719,6561.59,企业客户
2024-01-01,2024,1,华北,电子产品,蓝牙耳机,428650.72,549,62910.03,0.0713,780.76,企业客户
2024-01-01,2024,1,华北,家居用品,智能台灯,135085.82,423,29487.09,0.1897,319.71,家庭
2024-01-01,2024,1,华北,家居用品,空气净化器,313550.7,249,75422.75,0.0122,1261.44,家庭
2024-01-01,2024,1,华北,家居用品,电饭煲,156143.49,312,35865.94,0.005,501.03,家庭
2024-01-01,2024,1,华北,服装,男士夹克,180871.08,254,54057.8,0.2073,713.03,个人
2024-01-01,2024,1,华北,服装,女士连衣裙,165105.7,303,53691.34,0.0413,544.69,个人
2024-01-01,2024,1,华北,服装,运动鞋,242924.48,376,64141.28,0.2452,645.37,个人
2024-01-01,2024,1,华北,食品饮料,坚果礼盒,190245.22,929,36306.22,0.0726,204.69,家庭
2024-01-01,2024,1,华北,食品饮料,咖啡豆,108953.33,713,16806.07,0.2178,152.78,家庭
2024-01-01,2024,1,华北,食品饮料,气泡水,112278.15,1275,22324.58,0.0252,88.07,家庭
2024-01-01,2024,1,华北,美妆个护,护肤套装,486860.36,529,168164.28,0.1956,919.83,个人
2024-01-01,2024,1,华北,美妆个护,口红,156512.21,617,62460.36,0.0712,253.6,个人
2024-01-01,2024,1,华北,美妆个护,洗发水,117328.58,1004,40340.13,0.1973,116.88,个人
2024-01-01,2024,1,西南,电子产品,智能手机,949859.14,216,124127.24,0.1103,4389.87,企业客户
2024-01-01,2024,1,西南,电子产品,笔记本电脑,1140470.04,162,136739.14,0.2676,7046.71,企业客户
2024-01-01,2024,1,西南,电子产品,蓝牙耳机,348199.3,402,45321.48,0.1508,865.28,企业客户
2024-01-01,2024,1,西南,家居用品,智能台灯,108551.29,361,24224.43,0.0842,300.38,家庭
2024-01-01,2024,1,西南,家居用品,空气净化器,286276.65,234,67761.34,0.0531,1225.7,家庭
2024-01-01,2024,1,西南,家居用品,电饭煲,128748.8,261,24653.2,0.2891,493.21,家庭
2024-01-01,2024,1,西南,服装,男士夹克,178464.19,249,55423.84,0.1155,717.98,个人
2024-01-01,2024,1,西南,服装,女士连衣裙,144605.31,258,36796.36,0.2808,560.4,个人
2024-01-01,2024,1,西南,服装,运动鞋,221210.83,369,75838.17,0.0292,598.74,个人
2024-01-01,2024,1,西南,食品饮料,坚果礼盒,138253.22,712,23670.75,0.2091,194.25,家庭
2024-01-01,2024,1,西南,食品饮料,咖啡豆,114144.67,749,21766.82,0.0881,152.31,家庭
2024-01-01,2024,1,西南,食品饮料,气泡水,90552.1,968,17460.95,0.2395,93.59,家庭
2024-01-01,2024,1,西南,美妆个护,护肤套装,388551.31,422,123754.68,0.2387,920.49,个人
2024-01-01,2024,1,西南,美妆个护,口红,135128.73,520,45998.64,0.1735,259.69,个人
2024-01-01,2024,1,西南,美妆个护,洗发水,88632.64,776,31893.91,0.1628,114.19,个人
2024-01-01,2024,1,华中,电子产品,智能手机,850310.84,181,130389.98,0.0381,4710.65,企业客户
2024-01-01,2024,1,华中,电子产品,笔记本电脑,1091152.71,159,149527.67,0.0647,6844.16,企业客户
2024-01-01,2024,1,华中,电子产品,蓝牙耳机,315340.51,379,39822.53,0.1622,832.72,企业客户
2024-01-01,2024,1,华中,家居用品,智能台灯,103746.77,344,17851.01,0.2928,301.68,家庭
2024-01-01,2024,1,华中,家居用品,空气净化器,258005.43,220,60165.46,0.1317,1172.21,家庭
2024-01-01,2024,1,华中,家居用品,电饭煲,132272.35,270,30940.15,0.052,490.2,家庭
2024-01-01,2024,1,华中,服装,男士夹克,180470.48,255,54232.76,0.1981,707.92,个人
2024-01-01,2024,1,华中,服装,女士连衣裙,151484.36,279,41799.09,0.1835,542.01,个人
2024-01-01,2024,1,华中,服装,运动鞋,200957.85,326,67612.17,0.0043,615.58,个人
2024-01-01,2024,1,华中,食品饮料,坚果礼盒,145444.55,750,23802.34,0.0294,193.85,家庭
2024-01-01,2024,1,华中,食品饮料,咖啡豆,94780.62,604,16073.59,0.1196,156.94,家庭
2024-01-01,2024,1,华中,食品饮料,气泡水,90517.89,1051,19197.16,0.0136,86.12,家庭
2024-01-01,2024,1,华中,美妆个护,护肤套装,370438.94,414,124814.85,0.1976,894.53,个人
2024-01-01,2024,1,华中,美妆个护,口红,136221.6,514,47094.09,0.1757,265.16,个人
2024-01-01,2024,1,华中,美妆个护,洗发水,98203.74,802,32797.51,0.1375,122.47,个人
2024-01-01,2024,1,东北,电子产品,智能手机,666518.14,151,91987.81,0.1158,4415.94,企业客户
2024-01-01,2024,1,东北,电子产品,笔记本电脑,796547.19,119,92906.66,0.2535,6673.06,企业客户
2024-01-01,2024,1,东北,电子产品,蓝牙耳机,228944.71,284,29885.58,0.209,807.38,企业客户
2024-01-01,2024,1,东北,家居用品,智能台灯,77717.23,255,18684.43,0.0846,304.97,家庭
2024-01-01,2024,1,东北,家居用品,空气净化器,192713.89,160,38808.58,0.2421,1204.22,家庭
2024-01-01,2024,1,东北,家居用品,电饭煲,96516.77,184,21500.27,0.1022,523.29,家庭
2024-01-01,2024,1,东北,服装,男士夹克,114431.74,163,34939.11,0.2264,700.44,个人
2024-01-01,2024,1,东北,服装,女士连衣裙,105830.52,194,33059.82,0.1168,545.53,个人
2024-01-01,2024,1,东北,服装,运动鞋,130136.33,206,35332.69,0.285,631.07,个人
2024-01-01,2024,1,东北,食品饮料,坚果礼盒,88664.62,428,18209.7,0.088,207.23,家庭
2024-01-01,2024,1,东北,食品饮料,咖啡豆,65605.85,429,11087.4,0.2257,152.83,家庭
2024-01-01,2024,1,东北,食品饮料,气泡水,61329.5,727,11553.78,0.0173,84.36,家庭
2024-01-01,2024,1,东北,美妆个护,护肤套装,290177.5,326,87572.05,0.2663,891.32,个人
2024-01-01,2024,1,东北,美妆个护,口红,105029.54,409,34769.97,0.1855,256.62,个人
2024-01-01,2024,1,东北,美妆个护,洗发水,66425.6,550,20827.01,0.2466,120.84,个人
2024-02-01,2024,2,华东,电子产品,智能手机,1229851.1,279,138041.45,0.2438,4410.33,企业客户
2024-02-01,2024,2,华东,电子产品,笔记本电脑,1885089.04,265,281404.3,0.0251,7100.97,企业客户
2024-02-01,2024,2,华东,电子产品,蓝牙耳机,528509.52,667,76543.7,0.0334,792.74,企业客户
2024-02-01,2024,2,华东,家居用品,智能台灯,152718.74,522,34432.06,0.1406,292.55,家庭
2024-02-01,2024,2,华东,家居用品,空气净化器,445541.43,388,92229.13,0.2887,1147.96,家庭
2024-02-01,2024,2,华东,家居用品,电饭煲,170949.0,342,34207.11,0.2606,500.19,家庭
2024-02-01,2024,2,华东,服装,男士夹克,292844.01,392,75611.71,0.2908,747.79,个人
2024-02-01,2024,2,华东,服装,女士连衣裙,253860.15,472,81983.09,0.2087,537.34,个人
2024-02-01,2024,2,华东,服装,运动鞋,358674.58,580,125305.11,0.0136,617.94,个人
2024-02-01,2024,2,华东,食品饮料,坚果礼盒,262153.27,1335,42753.58,0.186,196.4,家庭
2024-02-01,2024,2,华东,食品饮料,咖啡豆,154352.29,1092,25848.36,0.1751,141.39,家庭
2024-02-01,2024,2,华东,食品饮料,气泡水,161902.17,1773,24885.72,0.2441,91.33,家庭
2024-02-01,2024,2,华东,美妆个护,护肤套装,528126.33,588,178975.48,0.2798,898.01,个人
